author,title,publish_place
 Yong-ho Kim,Programmed death ligand-1 is an endogenous pain inhibitor and silences mouse and human nociceptive neurons,N/A
 Yong-ho Kim,Composition containing eugenol as active ingredient for preventing or treating atopic dermatitis,N/A
 Yong-ho Kim,Method for treating mechanical allodynia comprising administration of eugenol,N/A
 Yong-ho Kim,CHARACTERIZATION OF P2X RECEPTORS IN SPINAL (TRIGEMINAL) MICROGLIA AND MACROPHAGES,N/A
 Yong-ho Kim,Supplemental Information TRPV1 in GABAergic Interneurons Mediates Neuropathic Mechanical Allodynia and Disinhibition of the Nociceptive Circuitry in the Spinal Cord,Neuron
 Wan Iryani Wan Ismail,SNEKMANGSAB· ANJIR,N/A
 Wan Iryani Wan Ismail,Honeys on obese induced rats,Evidence-based complementary and alternative medicine
 Wan Iryani Wan Ismail,Khasiat Buah Kurma Dalam Menangani Tekanan Emosi Benefits Of Dates In Dealing With Emotional Stress,N/A
 Wan Iryani Wan Ismail,Biochemical evaluation of wild harvesting and beekeeping honey in obese induced rats beekeeping honeys on obese induced rats,Journal of Sustainability Science and Management
 Wan Iryani Wan Ismail,Endophytic pyrones Aspergillus sp. display anti-proliferative effect on a several cancer cell lines,N/A
 Siti Safura Jaapar,"Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes (vol 2013, 938081, 2013)",Evidence-Based Complementary and Alternative Medicine
 Siti Safura Jaapar,Corrigendum to “Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes”,Evidence-Based Complementary and Alternative Medicine
 Siti Safura Jaapar,Stevioside Potentiates Insulin Sensitivity by Elevating Insulin-Stimulated Glucose Uptake in 3T3-L1 Adipocytes,The Open Conference Proceedings Journal
 Siti Safura Jaapar,Preliminary Screening of Natural Vanillin Presence from In Vitro and In Vivo Plants of Vanilla Planifolia Via thin Layer Chromatography (TLC),N/A
 Siti Safura Jaapar,The Optimized Extraction Solvent System for Crude Extract of Stevia Rebaudiana in Detecting the Stevioside Presence,N/A
 Zainah Adam,UTILIZATION OF CELL REPORTER SYSTEM AND ENSPIRE® MULTIMODE PLATE READER IN ANTI-CANCER RESEARCH,N/A
 Zainah Adam,Biological screening of selected herbs used in traditional treatment of diabetes,N/A
 Zainah Adam,Cytotoxicity evaluation of Ziziphus mauritiana and Oenanthe javanica on Chang liver cell lines,N/A
 Zainah Adam,An Evaluation Of Anti Cancer Potential Of Annona Muricata Linn (Durian Belanda) Tea Product,N/A
 Zainah Adam,Antiproliferative study of B. javanica extracts against head and neck cancer cells,N/A
 Aishah Adam,"Genotoxicity, mutagenicity and cytotoxicity effects of eugenia polyantha, myrthaceae (daun salam)",N/A
 Aishah Adam,Effects of menadione in mice with compromised GSH levels,N/A
 Aishah Adam,Correlation between NADPH depletion and pentose phosphate pathway stimulation by paraquat,N/A
 Aishah Adam,Effects of Redox Cycling Compounds on Lungs with Normal and Compromised Oxidative Defences,N/A
 Aishah Adam,"CONSUMPTION OF FRUITS AND VEGETABLES, AND THE LEVELS OF ANTIOXIDANT ENZYMES IN DOWN SYNDROME INDIVIDUALS",N/A
 Xindong Zhang,Precfix: Large-scale patch recommendation by mining defect-patch pairs,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Software Engineering in Practice
 Xindong Zhang,Large-scale patch recommendation at Alibaba,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Companion Proceedings
 Chao Gao,"Sequence similarity network analysis, crystallization, and X-ray crystallographic analysis of the lactate metabolism regulator LldR from Pseudomonas aeruginosa",Bioresources and Bioprocessing
 Chao Gao,"Efficient bioconversion of 2, 3-butanediol into acetoin using Gluconobacter oxydans DSM 2003",Biotechnology for biofuels
 Chao Gao,Recent progress of biorefinery of polyols based on biomass resources,N/A
 Chao Gao,Biocatalytic production of chiral 2-hydroxycarboxylic acids and 2-oxocarboxylic acids,N/A
 Chao Gao,"Strain for 1, 3-Propanediol Production",N/A
 Hong Xu,Extending the Service Life of Concrete Bridges-Corrosion Monitoring of Lynch’s Bridge over Maribyrnong River-Early Coating Provides Enhanced Performance,N/A
 Hong Xu,AIR PERMEABHJTY OF CONCRETE CONTAINING FLY ASH,N/A
 Hong Xu,Adipocyte-fatty Acid Binding Protein (A-FABP) as a Permissive Factor for the Metabolic Syndrome and Atherosclerosis,N/A
 Hong Xu,C-反应蛋白独立于腹型肥胖与阻塞性睡眠呼吸暂停相关,N/A
 Hong Xu,PORTAL VEIN EMBOLIZATION BEFORE EXTENSIVE HEPATECTOMY IN PATIENTES WITH HILAR CHOLANGIOCARCINOMA,N/A
 Hua Sun,"tsRFun: a comprehensive platform for decoding human tsRNA expression, functions and prognostic value by high-throughput small RNA-Seq and CLIP-Seq data",Nucleic acids research
 Hua Sun,"Pol3Base: a resource for decoding the interactome, expression, evolution, epitranscriptome and disease variations of Pol III-transcribed ncRNAs",Nucleic acids research
 Hua Sun,CREB1 contributes colorectal cancer cell plasticity by regulating lncRNA CCAT1 and NF-κB pathways,bioRxiv
 Hua Sun,Argonaute HITS-CLIP decodes microRNA-mRNA interaction maps during liver development,Nature
 Hua Sun,Systematical identification of cis-elements orchestrating the expressions of miRNAs in humans,N/A
 Fu-ming Wang,"Synthesis of an ethylene oxide-acrylate functionalized hydrophobic-hydrophilic viscid copolymer electrolyte based on polysiloxane, and its conductivity properties",N/A
 Fu-ming Wang,Effect of various length EO side chain of gel polymer electrolyte based on poly (ethylene glycol) methyl ether methacrylate,N/A
 Fu-ming Wang,In situ formation of super electrically conductive Si material with a polymer brush acid and emeraldine base and its auto-switch design for high-safety and high-performance …,N/A
 Fu-ming Wang,High safety self-catalyzed electrode additive for lithium-ion battery,N/A
 Fu-ming Wang,The Investigation Of Electronegativity Functional Group Effects On Maleimide Electrolyte Additive In Lithium Ion Battery,N/A
 Raquel Aloyz,D sympathetic neuron death is deter,Molecular Mechanisms Regulating Survival of Peripheral Neurons During Development and Adulthood
 Raquel Aloyz,Combination of a nitrogen mustard analogue and imatinib for the treatment of chronic lymphocytic leukemia,N/A
 Raquel Aloyz,"Lawrence C. Panasci, MD, Zhi-YuanXu, MD, and Raquel Aloyz, PhD",N/A
 Raquel Aloyz,Synaptic innervation density is regulated by BDNF,N/A
 Raquel Aloyz,Characterization of Membrane-Bound Neuropeptide-Degrading Activities in Aplysia Californica,N/A
 Lawrence Panasci,Parameters of Chloroethylnitrosoureas in Mice1,N/A
 Lawrence Panasci,"95 RAS Mutations as Predictive Biomarkers in Clinical Management of Metastatic Colorectal Cancer Paul Waring, Jeanne Tie, Dipen Maru, Christos S. Karapetis 104 From Molecular …",N/A
 Lawrence Panasci,RIBBON-1: efficacy of capecitabine plus bevacizumab in patients with triple-negative metastatic breast cancer,N/A
 Lawrence Panasci,A Phase Ib/II trial of combination of vinorelbine with sorafenib (BAY 43-9006) as first-line treatment in patients with metastatic breast cancer,N/A
 Lawrence Panasci,"Poster presentations (Tue, 1 Nov) Gynaecological cancer",N/A
 Ie-Ming Shih,About novoseek,Nature Methods
 Ie-Ming Shih,The Molecular Landscape of Different Ovarian Cancer Subtypes and New Prospects,Journal of Clinical Medicine
 Ie-Ming Shih,Pathological Features,New England Journal of Medicine
 Ie-Ming Shih,112 Gestasyonel Trofoblastik Lezyonlar ve Neoplaziler,N/A
 Kwong-Kwok Wong,153. Functional Analysis of Deinococcus radiodurans Genomes by Targeted Mutagenesis,N/A
 Kwong-Kwok Wong,Pathology and Laboratory Medicine International (In Press),N/A
 Kwong-Kwok Wong,Lead article,Indian pediatrics
 Kwong-Kwok Wong,Rapid Partial Digestion of DNA Fragments by PCR with 5-methyl-dCTP,N/A
 Kwong-Kwok Wong,A comprehensive approach from cDNA microarray in Cancer Research,N/A
 Jinsong Liu,Theoretical study of the intensity dependence of two-beam coupling gain coefficient in photorefractive crystals,N/A
 Jinsong Liu,Evolution of bright screening-photovoltaic spatial optical solitons,N/A
 Jinsong Liu,Use of Wavefront Encoding in Optical,Applied Optics
 Jinsong Liu,Study of Change Dependence of Modulation Depth of Two-wave Coupling in Photorefractive Crystals,N/A
 Jinsong Liu,Iterative Design Technique for Diffractive Optical Elements for Fibre Coupling Applications,N/A
 Swadesh K. Das,"Analog Design Analog Placement Based on Symmetry-Island Formulation............... P.-H. Lin, Y.-W. Chang, and S.-C. Lin 791 Logic Synthesis A Transform-Parametric Approach to …",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
 Swadesh K. Das,"De Boer, ES, 1601 De Liguoro, M., 203 De Pauw, E., 725 de Souza, MP, 1571 de Wolf, W., 23",N/A
 Swadesh K. Das,SELECTIVE LASER SINTERING FOR MANUFACTURING OF EXFOLIATED GRAPHITE NANOPLATELETS/POLYAMDIE12 MULTIFUCTIONAL NANOCOMPOSITES,N/A
 Swadesh K. Das,Nanoscale c5nr00874c,Nanoscale
 Swadesh K. Das,Analysis of an Electromagnet for Diverse Safety Rod Drive Mechanism,N/A
 Belal Azab,Erratum to Mda-7/IL-24 Differentially Regulates Soluble and Nuclear Clusterin in Prostate Cancer [J Cell Physiol 227 (2012) 1805-1813,N/A
 Belal Azab,Abstract LB-315: Chemoprevention gene therapy (CGT) approach for pancreatic cancer.,N/A
 Belal Azab,Microbubble assisted viral delivery,Therapeutic Delivery
 Belal Azab,Approaches for Enhancing Therapeutic Efficacy of a Novel IL-10 Gene Family Member: MDA-7/IL-24,Approaches for Enhancing Therapeutic Efficacy of a Novel IL-10 Gene Family Member: MDA-7/IL-24
 Belal Azab,Defining the mechanism by which melanoma differentiation associated gene-7/interleukin-24 (mda-7/IL-24)-induced autophagy switches to apoptosis in prostate cancer cells,Toxicology and applied pharmacology
 Mitchell E. Menezes,N-Myc interactor causes MET by downregulating Wnt/beta-catenin signaling,N/A
 Mitchell E. Menezes,MRJ (L) reverts mesenchymal phenotype and restricts malignancy by inhibiting Wnt/β-catenin signaling,N/A
 Mitchell E. Menezes,Abstract 2289: MRJ(L) reverts mesenchymal phenotype and restricts malignancy by inhibiting Wnt/β-catenin signaling,N/A
 Mitchell E. Menezes,"Emerging Applications of Molecular Imaging to Oncology, Vol 124. Advances in Cancer Research",N/A
 Mitchell E. Menezes,Abstract| PDF| Full Text| Supplementary Materials| Order a Reprint| https://doi. org/10.18632/oncoscience. 99,Oncoscience
 Paul Dent,PRACTICAL APPLICATIONS,N/A
 Paul Dent,Sign in| Register for Free!,N/A
 Paul Dent,Straumann® BoneCeramic as An Alternative Graft Material for GBR Use Around Immediately Placed Dental Implants,Implant Realities
 Paul Dent,"Paul S Rosen, Manual H Marks, Gerrald M Bowers, DDS",N/A
 Paul Dent,BioXclude Amnion Chorion Allograft in Combined Therapy for Ridge Augmentation with Immediate Implant Placement: A Case Report,N/A
 Fotios Loupakis,BEACON CRC,N/A
 Fotios Loupakis,THE SHARE 5 STEP COMMUNICATION FRAMEWORK FOR SHARED DECISION-MAKING IN 3RD-LINE TREATMENT OF METASTATIC COLORECTAL CANCER (mCRC),N/A
 Fotios Loupakis,TRIAL DESIGN,BMC medical research methodology
 Fotios Loupakis,"Conci, Simone, 61",N/A
 Fotios Loupakis,"Our thanks to those who have helped with this issue of Expert Review of Anticancer Therapy. Listed below are the authors, referees and others who have kindly given their time …",N/A
 Chiara Cremolini,"KRAS codon 61, 146 and BRAF V600E mutations predict resistance to cetuximab plus irinotecan in KRAS codon 12 and 13 wild-type metastatic colorectal cancer",N/A
 Chiara Cremolini,Studio retrospettivo del ruolo di PTEN e KRAS come fattori predittivi nel trattamento del carcinoma colorettale metastatico con cetuximab+ irinotecano,N/A
 Chiara Cremolini,35th ESMO Congress travel grants,Annals of oncology
 Chiara Cremolini,"New Data Reported in Colorectal, Gastric, and Pancreatic Cancers",N/A
 Chiara Cremolini,"Conci, Simone, 61",N/A
 Maria Lorenzi,Modeling X-ray Raman scattering with XSpectra,EBS Workshop on X-ray Raman Scattering spectroscopy
 Maria Lorenzi,Thermal and Electronic Transport at the Nanoscale,Nanoscale
 Maria Lorenzi,Phonon hydrodynamics in two-dimensional materials Supplementary Information,Nature communications
 Maria Lorenzi,Pinze Ottiche per l’intrappolamento e la manipolazione delle Microparticelle,N/A
 Maria Lorenzi,Localizzazione ottimale delle funzioni di Wannier negli isolanti cristallini,N/A
 Emma Altobelli,Risck factors for recurrences of febrile seizures in patients hospitalised,N/A
 Emma Altobelli,Melanocortin 1 receptor gene variants are associated with an increased risk for cutaneous sporadic melanoma in an Italian population,N/A
 Emma Altobelli,Le linee guida delle BPCO. Aspertti epidemiologici,N/A
 Emma Altobelli,Appendix 4–Excluded studies and primary reason for exclusion Ovid Search–excluded studies based on title/abstract,N/A
 Emma Altobelli,Current psoriasis treatments in an Italian population and their association with socio-demographical and clinical,N/A
 Daniela Marzioni,First trimester HtrA1 maternal plasma level and spontaneous preterm birth,N/A
 Daniela Marzioni,Pregnancy Hypertension,N/A
 Daniela Marzioni,Aspecto morfológico y molecular del desarrollo de las vellosidades coriónicas humanas en placentas normales y patológicas,N/A
 Daniela Marzioni,From Cell Biology to Tissue Engineering,N/A
 Daniela Marzioni,PLACENTA E PREECLAMPSIA,N/A
 Emanuela Mensa__,Substance P NK 1 receptor in the rat corpus callosum during postnatal development,Brain and Behavior
 Emanuela Mensa__,Postnatal development of the distribution of nitric oxide-producing neurons in the rat corpus callosum,N/A
 Emanuela Mensa__,Erratum: HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker (International Journal of Cancer (2013) 133: 11 (2650-2661,International journal of cancer
 Emanuela Mensa__,Sviluppo post-natale del recettore della Sostanza P (NK1) nella corteccia somatosensoriale del ratto,N/A
 Emanuela Mensa__,Reader Services,N/A
 Roberta Mazzucchelli,Metabolic phenotype of bladder cancer,Cancer treatment reviews
 Roberta Mazzucchelli,Ferran Algaba,N/A
 Roberta Mazzucchelli,Contemporary Update on Pathology-related Issues on Routine Workup of Prostate Biopsy,N/A
 Roberta Mazzucchelli,959 Reply,N/A
 Roberta Mazzucchelli,LA NEFROPATIA A MEMBRANE BASALI SOTTILI,N/A
 Antonio De Luca,Mémoire présenté à la Faculté des études supérieures de l'Université Laval dans le cadre du programme de maîtrise en pharmacie pour l'obtention du grade de maître es sciences …,N/A
 Antonio De Luca,I portinnesti del pesco,N/A
 Antonio De Luca,COMPORTAMENTO SISMICO DI ALCUNE CHIESE DELL’AQUILA IN SEGUITO AL SISMA DELL’APRILE 2009,N/A
 Antonio De Luca,USE OF CLINICAL BIOMARKERS IN GYNECOLOGY,Scientific Reports
 Antonio Domenico Procopio,Ortaldo J,N/A
 Antonio Domenico Procopio,COMPARATIVE-EVALUATION OF LYMPHOID AND RECOMBINANT IL-2 PREPARATIONS,N/A
 Antonio Domenico Procopio,DIAGNOSI DELLE INFEZIONI DA CLAMIDIE,N/A
 Antonio Domenico Procopio,NK ACTIVITY IN SPLEENS AND LYMPH-NODES FROM PATIENTS WITH HODGKINS-DISEASE,N/A
 Antonio Domenico Procopio,The Plexin-A1 Receptor Activates Vascular Endothelial Growth Factor-Receptor 2 and Nuclear Factor-KB to Mediate Survival and Anchorage-Independent Growth of Malignant …,N/A
 Alfonso Baldi,KÜTÜPHANE KÜTÜPHANE,N/A
 Alfonso Baldi,On the Colonic Bacterial Metabolism of Azo-Bonded Prodrugsof 5-Aminosalicylic,N/A
 Alfonso Baldi,MALIGNANT MELANOMA ASSOCIATED WITH A BLUE NAEVUS,Cases Journal
 Alfonso Baldi,"Electroporation promotes HtrA1 uptake and in a mouse model of mesothelioma Enrico P. Spugnini1, Irene Cardillo1, Maurizio Fanciulli1, Stefania Crispi2, Bruno Vincenzi3 …",Frontiers in Bioscience-Elite
 Alfonso Baldi,Journal of Equine Veterinary Science,N/A
 Rodolfo Montironi,959 Reply,N/A
 Rodolfo Montironi,Molecular Pathogenesis of Urothelial Carcinoma,N/A
 Rodolfo Montironi,CASE HISTORY AND PATHOLOGY,Virchows Archiv
 Rodolfo Montironi,"The value of fatty acid synthase (FAS), DD3 and chromogranin as a marker in prostate cancer.",N/A
 Rodolfo Montironi,LA NEFROPATIA A MEMBRANE BASALI SOTTILI,N/A
 Mario Castellucci,COHERENT,Mathematical finance
 Mario Castellucci,RAMAN f SPECTROSCOPY--..,N/A
 Mario Castellucci,DETERMINATION OF THIRD-ORDER HYPERPOLARIZABILITY OF PYRIDINE AND SUBSTITUTED PYRIDINES BY CARS,N/A
 Mario Castellucci,GISR 2017 Trieste,N/A
 Mario Castellucci,LIF 4-Fluorostyrene–neon (1/1)(large-amplitude motion)(weakly bound complex),N/A
 Jian Guan,Experimental measurement-dependent local Bell test with human free will,Physical Review A
 Jian Guan,Time-Frequency Transfer through a 70 dB Free Space Channel: Towards Satellite-Ground Time Dissemination,arXiv preprint arXiv:2003.08322
 Jian Guan,Color Blind Detectors Enable Chromatic Interferometry,N/A
 Jian Guan,Experimental quantum money,npj Quantum Information
 Jian Guan,Achieving 200 km of Measurement-device-independent Quantum Key Distribution with High Secure Key Rate,N/A
 Bin Chen,Chapter XX Life Cycle Assessment of Biogas Systems,N/A
 Bin Chen,Energy economics and policy,N/A
 Bin Chen,Evaluation of a Low-Carbon City&58; Method and Application,Entropy
 Bin Chen,The Comparision among Four Carbon Footprint Estimation Boundaries of the Sectors Using Chongqing as a Case,N/A
 Bin Chen,EnNan2016–Environmental Nanotechnology,N/A
 Qisheng Li,TOWARDS THE IDENTIFICATION OF GENES INVOLVED IN THE ANTIVIRAL ACTIVITY OF RIBAVIRIN AGAINST HCV INFECTION,N/A
 Qisheng Li,IDENTIFICATION OF ANTI-HEPATITIS C VIRUS INTERFERON-STIMULATED GENES USING A FUNCTIONAL GENOMICS APPROACH,N/A
 Qisheng Li,A NOVEL NF-KAPPAB-INDEPENDENT FUNCTION OF IKKALPHA IN HEPATITIS C VIRUS ASSEMBLY,N/A
 Qisheng Li,"Characterization of gene induction and antiviral effects on HCVcc following ribavirin, interferon and polyIC stimulation",N/A
 Qisheng Li,"Disclosures: Stanley M. Lemon-Advisory Committees or Review Panels: Merck, Santaris, Abbott, Gilead; Consulting: Achillion, Idenix; Grant/Research Support: Merck, Tibotec …",N/A
 Xiaokang Zheng,Semi-Supervised Multi-Temporal Deep Representation Fusion Network for Landslide Mapping from Aerial Orthophotos,Remote Sensing
 Xiaokang Zheng,多分类系统类别语义分析——以自然资源调查为例,N/A
 Xiaokang Zheng,Cloud Removal in Optical Remote Sensing Imagery Using Multiscale Distortion-Aware Networks,N/A
 Xiaokang Zheng,A Hybrid Model-Based and Data-Driven Approach for Cloud Removal in Satellite Imagery Using Multi-Scale Distortion-Aware Networks,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS
 Xiaokang Zheng,Style Transformation-Based Change Detection Using Adversarial Learning with Object Boundary Constraints,N/A
 Shuang Wang,Regulation of neuropeptide Y on sweet taste in central nucleus of amygdala and its mechanism,N/A
 Shuang Wang,NEUROSCIENCE BULLETIN 2007 Vol. 23 I. 6,N/A
 Shuang Wang,NEUROSCIENCE BULLETIN 2009 Vol. 25 I.,American Journal of Psychiatry
 Shuang Wang,Regulation of neuropeptide Y in central nucleus of amygdaloid on feeding of fasted rats,N/A
 Shuang Wang,Submitted to Scientific Reports Transient increase of interleukin-1β after prolonged febrile seizures promotes adult epileptogenesis through long-lasting upregulating …,Scientific reports
 Yi Ding,Nanoporous Metals for Heterogeneous Catalysis: Following the Success of Raney Nickel,N/A
 Yi Ding,Enhancing the performance of MnO by double carbon modification for advanced lithium-ion battery anode,Journal of Materials Chemistry A
 Yi Ding,Catalysis and Electrocatalysis by Nanoporous Gold,Acs Catalysis
 Yi Ding,Catalytic Nanoporous Gold for Sonogashira Reaction,N/A
 Yi Ding,Nanoporous Gold Leaf Based Electrodes for Advanced Energy Technologies,N/A
 Mauro Di Ianni,Does 5-azacitidine increase transgene expression? Results of a preliminary in vivo study.,N/A
 Mauro Di Ianni,Role of DNA-demethylating agent 5-azacitidine in maintenance of transgene expression in SCID mice. A study performed with a biscistronic retroviral vector.,N/A
 Mauro Di Ianni,Transduction of beta-galactosidase gene into U937 cell line: In vitro and in vivo evidence of stably expression of the transgene,N/A
 Mauro Di Ianni,''Suicide''gene transduction into U937 leukemic cell line,N/A
 Mauro Di Ianni,"F. Yates, C. Hue, M. Malassis-Séris, DB Kohn, A. Fischer, JP de Villartay, M. Cavazzana-Calvo (Paris, F; Los Angeles, USA)",N/A
 Laura Cavalli,Couples’ second child fertility intentions and disagreement in Italy: A Bargaining Process Approach,N/A
