author,title,publish_place
 Laura Cavalli,A dynamic general equilibrium model for Italy: assessing the redistributive effects of public policies.,N/A
 Laura Cavalli,Italian Cities SDGs Composite Index,N/A
 Laura Cavalli,Authors for this volume,N/A
 Katia Fettucciari,Engineering Mesenchymal Cells with Interleukin 7 Gene: In Vitro Effects on Naive T Cell Population.,N/A
 Katia Fettucciari,Group B streptococcus (GBS) causes macrophage PLA (2) s activation and modification of phosphatidylserine metabolism during induction of apoptosis,N/A
 Katia Fettucciari,Graft engine,N/A
 Katia Fettucciari,CELLULAR IMMUNOLOGY AND IMMUNE REGULATION-Differential Role of p38 and c-Jun N-Terminal Kinase 1 Mitogen-Activated Protein Kinases in NK Cell Cytotoxicity,The Journal of Immunology
 Katia Fettucciari,Cytokine gene expression in group a streptococcus-infected macrophages,N/A
 Andrea Bartoli,"Spatial Economic Modeling of the Waste-driven Agricultural Biogas in Lubelskie Region, Poland",Environmental and Climate Technologies
 Andrea Bartoli,The Impact of Different Energy Policy Options on Feedstock Price and Land Demand: The case of Biogas in Lombardy.,N/A
 Andrea Bartoli,La sostenibilità economico-ambientale del biogas in Lombardia: relazione finale progetto ECO-BIOGAS,N/A
 Andrea Bartoli,Relazione finale progetto ECOBIOGAS-La risposta delle aziende: i risultati dell'indagine diretta,N/A
 Andrea Bartoli,Le produzioni non alimentari,N/A
 Isabella Screpanti,"Variable common immunodeficiency. A case of hypogammaglobulinemia of late onset, with functional deficit of the T-lymphocytes",N/A
 Isabella Screpanti,COMMON VARIABLE IMMUNODEFICIENCY-A CASE OF LATE-ONSET HYPOGAMMAGLOBULINEMIA WITH T-CELL DEFECT,N/A
 Isabella Screpanti,"Supplementary Material: Targeting Notch to Maximize Chemo-therapeutic Benefits: Rationale, Advanced Strategies, and Fu-ture Perspectives",N/A
 Isabella Screpanti,Oncogenic role of miR-223 in Notch3 induced T Cell Acute Lymphoblastic Leukemia,N/A
 Isabella Screpanti,Brief Definitive Report,N/A
 Sandeep Sreevalsan,"The cannabinoid WIN 55,212-2 decreases specificity protein transcription factors and the oncogenic cap protein eIF4E in colon cancer cells",Molecular cancer therapeutics
 Sandeep Sreevalsan,"1, 1-Bis (3'-indolyl)-1-(p-bromophenyl) methane and related compounds repress survivin and decrease γ-radiation-induced survivin in colon and pancreatic cancer cells",International journal of oncology
 Sandeep Sreevalsan,MLLT6 maintains PD‐L1 expression and mediates tumor immune resistance,EMBO reports
 Sandeep Sreevalsan,"Inhibition of Rhabdomyosarcoma Cell and Tumor Growth by Targeting Specificity Protein (Sp) Transcription Factors (vol 132, pg 795, 2013)",International journal of cancer
 Sandeep Sreevalsan,Molecular Mechanisms of Cannabinoids as Anti-cancer Agents,Molecular Mechanisms of Cannabinoids as Anti-cancer Agents
 Kyounghyun Kim,"Inhibition of Rhabdomyosarcoma Cell and Tumor Growth by Targeting Specificity Protein (Sp) Transcription Factors (vol 132, pg 795, 2013)",International journal of cancer
 Kyounghyun Kim,"Hotair, a long non-coding RNA, exhibits pro-oncogenic activity in pancreatic cancer",N/A
 Kyounghyun Kim,Regulation of mTOR pathway by the orphan nuclear receptor NR4A1 (TR3/Nur77) in non-small cell lung cancer: Role of TR3 in AMPK activation,N/A
 Kyounghyun Kim,Crosstalk between Aryl hydrocarbon receptor and Estrogen receptor signaling pathways in human breast cancer cells,N/A
 Kyounghyun Kim,Domain analysis for estrogen receptor/Sp1-mediated transactivation and detection of estrogen receptor/Sp1 protein interactions in living cells,Domain analysis for estrogen receptor/Sp1-mediated transactivation and detection of estrogen receptor/Sp1 protein interactions in living cells
 Lisa Crose,"Say “Sul Sul!” to SimSim, A Sims-Inspired Platform for Sandbox Game AI",Proceedings of the AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment
 Lisa Crose,2020 Preface,TEEM 2020 Preface
 Lisa Crose,The 2020 Conference on Artificial Life (full proceedings pdf),N/A
 Lisa Crose,Reviewers for Volume 25,N/A
 Lisa Crose,Is evolution fundamentally creative?,N/A
 Stephen Safe,Inhibidores endocrinos–un análisis,N/A
 Stephen Safe,EDlTbRlAL BOARD,N/A
 Stephen Safe,In vitro thermal inactivation of hepatic Ah receptor from several mammalian species. By NJ Bunce,N/A
 Stephen Safe,"Invited Viewpoint Major hazards in the process industries: Achievements and challenges in loss prevention HJ Pasman (Rijswijk, Netherlands), HA Duxbury (Cheshire, UK) and EN",N/A
 Stephen Safe,US Environmental Protection Agency’s Endocrine Disrupting Chemicals Research Program: Summary of a Peer-Review Report,N/A
 Xiaojuan Li,PSP 101.0,a(A. 7)
 Xiaojuan Li,PURANG ABOLMAESUMI,N/A
 Xiaojuan Li,PSP 103.1. 2 (beta),N/A
 Xiaojuan Li,PURANG ABOLMAESUMI,N/A
 Xiaojuan Li,IEEE Officers,IEEE Network
 Yuying Zhang,A comparative study of monitoring programs for coherence in quantifying the dynamics of American lobster fisheries in the state of Maine,N/A
 Yuying Zhang,2.8 Band structures in the doubly odd nucleus 130 Cs,N/A
 Yuying Zhang,2.7 High-spin states in 127 I,Journal of the American Chemical Society
 Yuying Zhang,"This journal is part of ContentsDirect, the free alerting service which sends tables of contents by e-mail for Elsevier books and journals. You can register for ContentsDirect …",N/A
 Yuying Zhang,journal homepage: www. elsevier. com/locate/elecom,N/A
 Yu Wang,EFFECT OF OSTEOCLAST DEFICIENCY ON PERIAPICAL BONE-RESORPTION IN TL/TL RATS,N/A
 Yu Wang,Suppression of Tumor Necrosis Factor-mediated Apoptosis by Nuclear Factor B-independent Bone Morphogenetic Protein/Smad Signaling,N/A
 Yu Wang,Best of Supplement—Best of 2012 (Best of Cell Stem Cell),Clinical Cancer Research
 Yu Wang,Osteoblast Play an Essential Role in Periodontal Bone Loss Through Activation of Nuclear Factor-Kappa B,Scientific reports
 Yu Wang,The inhibitory role of NFκB in bone matrix protein expression,N/A
 Yi Cai,Cosmology of f(T) Teleparallel Gravity,Reports on Progress in Physics
 Yi Cai,Summary of Parallel Session:“Cosmology—Early Universe”,N/A
 Yi Cai,The origin of the universe and the ali primordial gravitational waves detection,N/A
 Yi Cai,Acknowledgement to Reviewers of Universe in 2015,N/A
 Zhenhua Huang,Experimental and Analytical Studies of Settling Sediment Clouds,N/A
 Zhenhua Huang,EFFECTS OF CURRENTS ON DOUBLE SLOTTED WAVE BARRIERS,N/A
 Zhenhua Huang,A linear theory for wave scattering by double slotted barriers A linear theory for wave scattering by double slotted barriers in weak steady currents1,N/A
 Zhenhua Huang,WAVES AND CURRENTS OVER A SEABED OF FINITE DEPTH,N/A
 J. Carson,of health and wildlife sciences can help answer complicated questions regarding infectious diseases.,N/A
 J. Carson,Giant panda behavior across a coupled human and natural system,Giant panda behavior across a coupled human and natural system
 J. Carson,Interactive effects of multiple conservation and development policies,N/A
 J. Carson,Effects of Government Policies and Natural Disasters on the Patterns of Forest Cover Change in the Sichuan Giant Panda Sanctuary (China),N/A
 J. Carson,"Conservation Program Enrollment under Different Reforestation Policy Scenarios in Wolong Nature Reserve, China",N/A
 B. Nowak,Additional file,Nutr J
 B. Nowak,Nanosafety research without animal testing,N/A
 B. Nowak,Nanosicherheitsforschung ohne Tierversuche,N/A
 B. Nowak,1 Environmental Pollution at volume 150,Journal of Environmental and Public health
 B. Nowak,Envisioning Nano Release Dynamics in a Changing World: Using Dynamic Probabilistic Modeling to Assess Environmental Emis-sions of Engineered Nanomaterials,N/A
 Yvonne McCarthy,"Begg, David, 7n Behrend, Hanna, 125 Beitritt, 125 Belfast, 5 Belfast Agreement, 1998, xvii",N/A
 Yvonne McCarthy,AND LIVING CONDITIONS,N/A
 Yvonne McCarthy,The Earnings of Immigrants in Ireland: Results from the 2005 EU Survey of Income and Living Conditions. ESRI WP206. August 2007,N/A
 Yvonne McCarthy,ALAN BARRETT IDE KEARNEY YVONNE MCCARTHY,N/A
 Yvonne McCarthy,"Tim Callan (ed.) Alan Barrett, Kieran Coleman, Liam Delaney, Tony Fahey, Brenda Gannon, Ide Kearney",N/A
 Liang Yang,"Use of different hydrological variables and impacts of atmospheric forcing errors on optimization and uncertainty analysis of the CHASM surface model at a cold catchment, in …",N/A
 Liang Yang,Use of a dynamic phenology module within a land-surface model to represent interannual variation in biogenic emissions on a regional scale,N/A
 Liang Yang,Relative contribution of climate variability and vegetation phenology to biogenic emissions,N/A
 Liang Yang,J8. 17 IMPROVING THE REPRESENTATION OF SNOW PROCESSES IN GLOBAL CLIMATE MODELS,N/A
 Liang Yang,A Simplified TOPMODEL for Hydrologic Simulations in a Climate Model as Applied to the CLM,Journal of Geophysical Research: Atmospheres
 Tim Tolker-Nielsen,The next issue of this journal,Science Education
 Tim Tolker-Nielsen,"Our thanks to all those who have helped with this issue of Future Microbiology. Listed below are authors, referees and others who have kindly given their time, effort and …",N/A
 Tim Tolker-Nielsen,MDPI Community & Outreach,N/A
 Tim Tolker-Nielsen,209 Time for order in microbial systematics Simonetta Gribaldo and,N/A
 Tim Tolker-Nielsen,"Our thanks to all those who have helped with this issue of Future Microbiology. Listed below are authors, referees and others who have kindly given their time, effort and …",N/A
 Chun-Yen Lin,Hepatic adenoma: Report of a case,N/A
 Chun-Yen Lin,Hepatic Adenoma: Report of a Case,N/A
 Chun-Yen Lin,The Indispensable Role of CCR5 for In Vivo,N/A
 Chun-Yen Lin,Tumor-Derived Chemokine CCL5 Enhances TGF-b–Mediated Killing of CD8 þ T Cells in Colon Cancer by T-Regulatory Cells,N/A
 Chun-Yen Lin,Blockade of TNF-a signaling benefits cancer therapy by suppressing effector regulatory T cell expansion,N/A
 Chien-Cheng Chen,Spontaneous rupture of solid pseudopapillary neoplasm of the pancreas during pregnancy,N/A
 Chien-Cheng Chen,Acute rhinosinusitis—related orbital infection in pediatric patients: a retrospective analysis,N/A
 Chien-Cheng Chen,Esophagography after pneumomediastinum without CT findings of esophageal perforation: is it necessary,AJR Am J Roentgenol
 Chien-Cheng Chen,Granulomatous Pneumocystis jiroveci pneumonia in a patient with diffuse large B-cell lymphoma: case report and review of the literature,N/A
 Chien-Cheng Chen,Prognostic value of prepontine cistern invasion in nasopharyngeal carcinoma treated by intensity-modulated radiotherapy,N/A
 Noriyuki Sato,Biotin modulates metal allergy via regulation of IL-1 beta production,N/A
 Noriyuki Sato,Crystalline and magnetic properties of Fe-Mo and Fe-W films with an artificially layered structure,N/A
 Noriyuki Sato,Fabrication of multi-step structure on SiC surface by sequential irradiation of Ar beam,N/A
 Noriyuki Sato,Fabrication of swelling structure on SiC surface by using multi-charged Ar beam,N/A
 Noriyuki Sato,ULTRAFAST 3-TERMINAL AND 2-TERMINAL MRAM ENABLED BY SPIN-ORBIT TORQUE OR THERMALLY ASSISTED SWITCHING,N/A
 Hideaki Miyake,"Synthesis, structure, and reactivity of ruthenium-zinc trinuclear hydrides with phosphine ligands",N/A
 Hideaki Miyake,"Hypervalent silicon and phosphorus atoms in single molecules: Synthesis and properties of phosphoranylalkoxysilicates and a phosphoranyloxysilicate (vol 36, pg 1260, 2007)",N/A
 Hideaki Miyake,Additions and Corrections-Hypervalent Silicon and Phosphorus Atoms in Single Molecules: Synthesis and Properties of Phosphoranylalkoxysilicates and a Phosphoranyloxysilicate,N/A
 Hideaki Miyake,"1, 3, 6-トリホスファフルベンおよび関連化合物の反応と特殊構造リン化合物への誘導",基礎有機化学討論会要旨集 (基礎有機化学連合討論会予稿集) 第 55 回有機反応化学討論会
 Hideaki Miyake,"有機合成化学協会誌: JOURNAL OF Synthetic Organic Chemistry JAPAN 66 (1), 30-40, 2008-01-01",N/A
 Takayuki Kobayashi,"B-10-78 QPM-LN 波長変換器と Si-APD を用いた高感度受信系 (B-10. 光通信システム B (光通信), 一般講演)",N/A
 Takayuki Kobayashi,Channel Arrangement Design in Lumped Amplified WDM Transmission over NZ-DSF Link with Nonlinearity Mitigation Using Optical Phase Conjugation,IEICE Transactions on Communications
 Takayuki Kobayashi,PDM-16QAM 信号の高利得・WDM 一括 位相感応光中継増幅,N/A
 Takayuki Kobayashi,ペタビット級空間分割多重伝送技術の最新動向と課題,N/A
 Takayuki Kobayashi,PPLN 導波路モジュールによる光パラメトリック増幅中継器を用いた大容量・長距離 WDM 伝送,N/A
 Yoji Kato,"Science of konnyaku Science of konnyaku, 1983",N/A
 Yoji Kato,"CARBOHYDRATES, LIPIDS, AND OTHER NATURAL PRODUCTS-Formation of N+ (hexanonyl) lysine in protein exposed to lipid hydroperoxide. A plausible marker for lipid hydroperoxide …",N/A
 Yoji Kato,Preparation of ovomucoid-free egg white and trial production of hypo-allergenic egg dishes,N/A
 Yoji Kato,Advances in Redox Research,N/A
 Yoji Kato,Research Article 1 Metal-catalyzed oxidation of 2-alkenals generates genotoxic 4-oxo-2-alkenals during lipid 2 peroxidation 3,"Bioscience, Biotechnology, and Biochemistry"
 Tomoyuki Tanaka,Zooming in on chromosome dynamics,Cell Cycle
 Tomoyuki Tanaka,Mechanisms mitigating problems associated with multiple kinetochores on one microtubule in early mitosis,N/A
 Tomoyuki Tanaka,GFP-based microscopic approaches for whole chromosome analysis in yeasts,N/A
 Tomoyuki Tanaka,Chromatin immunoprecipitation in budding yeast,N/A
 Hiroyuki Miyamoto,"F. Banhart, 45",N/A
 Hiroyuki Miyamoto,Grain boundary engineering of nanostructured materials by severe plastic deformation technique for high stress corrosion cracking resistance,N/A
 Hiroyuki Miyamoto,Microstructur and Texture evolution of pure copper processed by simple shear extrusion technique,N/A
 Hiroyuki Miyamoto,Microstructural evolution of pure copper after processing by simple shear extrusion technique up to twelve passes,N/A
 Hiroyuki Miyamoto,"Effects of Strain Energy and Grain Size on Corrosion Resistance of Ultrafine Grained Low C, N Fe-20% Cr Steels Fabricated by ECAP",International Journal of Corrosion
 Hosur Joyappa Dechamma,Recent approaches to develop live atenuated FMD vaccines,Virology
 Hosur Joyappa Dechamma,"MEGA2: Molecular Evolutionary Genetic analysis Software MEGA2: Molecular Evolutionary Genetic analysis Software, 2001",Bioinformatics
 Hosur Joyappa Dechamma,Production of high titered immunoreactive serum against FMDV,Indian Journal of Animal Sciences
 Hosur Joyappa Dechamma,"Amplification, cloning and sequencing of Enterococcus feacalis enolase gene",N/A
 Hosur Joyappa Dechamma,DIFFERENTIAL EXPRESSION OF CYTOKINES AND ARGININE METABOLIZING ENZYMES DURING in vitro MATURATION OF BOVINE MONOCYTE DERIVED MACROPHAGES,N/A
 D. Gu,STRUCTURE AND COACTIVATOR FUNCTIONS OF THE HUMAN TRAP/SCC/MEDIATOR COMPLEX,N/A
 D. Gu,The role of ubiquitous and cell specific coactivators in transcription regulation,N/A
 D. Gu,Two contact regions between Statl and CBP/p300 in IFN-γ signaling,N/A
 D. Gu,Advances in the Understanding of the Molecular Pathogenesis of Aggressive B Cell Lymphomas,N/A
 D. Gu,p53-Mdm2 Pathway,Molecular cell
 L. Sheng,Probing the Electronic Structure of Free and Size-Selected Nanoclusters Using Photoelectron Spectroscopy,N/A
 L. Sheng,From Planar Boron Clusters to Borophenes,Nature Reviews Chemistry
 L. Sheng,Photoelectron spectroscopy of multiply-charged anions,Annual review of physical chemistry
 L. Sheng,Chemisorption-Induced 2DĀ3DĀ2D Structural Transitions in Gold Heptamer:(CO) n Au7 Ā (n= 1Ā4),N/A
 L. Sheng,Bulk vs. Interfacial Aqueous Solvation of Dicarboxylate Dianions,N/A
 Q. Wang,Development of College Students' Innovation Capability in Laboratory Medicine Teaching,N/A
 Q. Wang,Studies on the promoting factors of cell adhension in bone tissue engineering: bFGF.,N/A
 Q. Wang,A study of a non-enzyme amperometric immunosensor for rapid detection of AFP based on carbon nanotubes modified glass carbon electrode,N/A
 Q. Wang,Present situation and progress in research on laboratory detection of HIV infection,N/A
 Q. Wang,Moving Developmental Constructs across Cultural Boundaries: Lessons from Cross-Cultural Research on Attachment and Parenting Styles,N/A
 Caroline Proux,Submonomer synthesis of peptoids containing trans-inducing N-imino-and N-alkylamino-glycines,Chemical science
 Caroline Proux,Catching up to nature's ribosomes,N/A
 Caroline Proux,"Athroprotective and Atheroregressive Potential of an [aza-Y4]-GHRP-6 Analogue, a Selective CD36 Ligand, in Apolipoprotein E-deficient Mice",N/A
 Caroline Proux,"Assembly and molecular order of two-dimensional peptoid nanosheets through the oil-water interface (vol 111, pg 13284, 2014)",Proceedings of the National Academy of Sciences
 Caroline Proux,Méthodologie pour la synthèse combinatoire d'azapeptides: application à la synthèse d'analogues aza-GHRP-6 en tant que ligands du récepteur CD36,Méthodologie pour la synthèse combinatoire d'azapeptides: application à la synthèse d'analogues aza-GHRP-6 en tant que ligands du récepteur CD36
 Christopher J Law,Taking Administrative Law to Tax Exceptionalism,N/A
 Christopher J Law,Does the Legal Standard Matter: Empirical Answers to Justice Kennedy's Questions in Nken v. Holder,Ohio St. LJ Furthermore
 Christopher J Law,Does Congress Really Mean to Delegate Interpretative Authority to Agencies,N/A
 Christopher J Law,Brief of Distinguished Alumni of the University of Texas at Austin as Amici Curiae in Support of Respondents,N/A
 Christopher J Law,The Insider's Guide to the Supreme Court of the United States,"Counsel of Appellate Lawyers, Appellate Practice Compendium"
 Wenfei Jin,Genome-Wide Search for Signatures of Natural Selection in African Americans,N/A
 Wenfei Jin,Exploring Population Admixture Dynamics via Distribution of LACS,N/A
 Wenfei Jin,Distribution of Length of Ancestral Chromosomal Segments in Admixed Genomes,N/A
 Wenfei Jin,Three-Dimensional Chromatin Architecture Landscape of Aging and Alzheimer's Disease,N/A
 Wenfei Jin,Supplemental Data Exploring Population Admixture Dynamics via Empirical and Simulated Genome-Wide Distribution of Ancestral Chromosomal Segments,The American Journal of Human Genetics
 Alika Maunakea,E-cadherin promoter region methylation and its correlation with transcript level for the NCI-60 cancer cell lines,N/A
 Alika Maunakea,"Advances in Brief-Experimental Therapeutics-Apoptotic Susceptibility of Cancer Cells Selected for Camptothecin Resistance: Gene Expression Profiling, Functional Analysis, and …",N/A
 Alika Maunakea,Apoptotic response and the mechanism of resistance to camptothecin: a study of gene expression and functional effects,N/A
 Alika Maunakea,Shared epigenetic mechanisms in human and mouse gliomas inactivate expression of the growth suppressor SLC5A8,Cancer Research
 Alika Maunakea,Novel Trisaccharide fatty acid ester identified from the fruits of Morinda citrifolia (noni)[recurso electrónico],N/A
 Brian Abraham,Developments and applications of field mass spectrometers,N/A
 Brian Abraham,Isomerization of Saturated Hydrocarbons. V.1 The Effect of Cyclohexene upon the Isomerization of Methylcyclopentane and Cyclohexane,Journal of the American Chemical Society
 Brian Abraham,Data Comparison Study Between Field and Laboratory Detection of Polychlorinated Biphenyls and Polycyclic Aromatic Hydrocarbons at Super fund Sites,N/A
 Brian Abraham,Thermal Desorption Gas Chromatography-Mass Spectrometry Field Methods for the Detection of Organic Compounds,N/A
 Brian Abraham,Development of an on-site gas chromatography/mass spectrometer for rapid detection of polycyclic aromatic hydrocarbons and polychlorinated biphenyls at hazardous waste sites,N/A
 Misook Ha,DNA context represents transcription regulation of the gene in mouse embryonic stem cells,Scientific reports
 Misook Ha,"Genome announcement, complete genome sequence of Leuconostc citreum KM20",N/A
 Misook Ha,"Carrington JC, Chen X, Wang XJ, Chen ZJ. 2009. Small RNAs serve as a genetic buffer against genomic shock in Arabidopsis interspecific hybrids and allopolyploids. Proceedings …",Proceedings of the National Academy of Sciences
 Misook Ha,Mechanisms of gene expression evolution in polyploids,N/A
 Misook Ha,INVESTIGATIONS-Gene expression-RNAi of met1 reduces DNA methylation and induces genome-specific changes in gene expression and centromeric small RNA accumulation in Arabidopsis …,Genetics
 Keji Zhao,Supplemental Extended Experimental Procedures,N/A
 Keji Zhao,Identification of Potential Human Polycomb Response Elements in T cells,N/A
 Keji Zhao,Regulating Genes Flanking Insulators involves dMes-4/Set2 as key players of Nucleosome dynamics,N/A
